Target Name,Target No.,preprocessed,First word,Top matched name for First word,Top matched No. for First word,Matched score for First word,Second word,Top matched name for Second word,Top matched No. for Second word,Matched score for Second word,Third word,Top matched name for Third word,Top matched No. for Third word,Matched score for Third word,TRUE
PQ GROUP HOLDINGS INC.,24540,pq group holdings,pq,Umpqua Holdings,135209,95.0,pq group,Q Group,49941,91.6,pq group holdings,PS Group Holdings,38450,94.0,
PT Bank Commonwealth,10847,pt bank commonwealth,pt,Opta Minerals,10830,91.0,pt bank,T Bank,22692,89.2,pt bank commonwealth,Common,99799,89.2,PT Bank
Pain Therapeutics Inc,20401,pain therapeutics,pain,Pain Therateutics (XETRA),307672,95.2,pain therapeutics,Rain Therapeutics,138008,94.0,pain therapeutics,Rain Therapeutics,138008,94.0,Pain Therateutics
QR National Limited,3496,qr national,qr,QR National (XETRA),314921,94.6,qr national,National,10379,96.8,qr national,National,10379,96.8,
ROAD MANAGEMENT CONSOLIDATED PLC,8995,road management consolidated,road,Lang Son Road Management and Consolidated,126211,96.2,road management,Lang Son Road Management and Consolidated,126211,96.2,road management consolidated,Consolidated Securities,99851,92.0,
"RWT HOLDINGS, INC",24050,rwt holdings,rwt,CLRWT Seafoods Income Fund,157333,88.4,rwt holdings,AG Holdings,44740,96.0,rwt holdings,AG Holdings,44740,96.0,RWT
Repsol International Finance BV,16116,repsol international finance bv,repsol,Repsol SA (SEAQ International),296774,93.8,repsol international,Repsol International Capital Preferred 'A' 7.45%,146873,92.6,repsol international finance,National Finance,112023,93.6,Repsol
S&T Bank,22229,s&t bank,s&t,S&T Bancorp,134965,94.8,s&t bank,T Bank,22692,97.2,s&t bank,T Bank,22692,97.2,
S.P.C.M. SA,8472,s.p.c.m.,s.p.c.m.,PCM,60930,64.6,s.p.c.m.,PCM,60930,64.6,s.p.c.m.,PCM,60930,64.6,
SB ONE BANK,24675,sb one bank,sb,SB One Bancorp,61237,96.0,sb one,SB One Bancorp,61237,96.0,sb one bank,One Bank,85136,96.8,
"SBA TELECOMMUNICATIONS, LLC",23938,sba telecommunications,sba,SBA Communications,133084,98.0,sba telecommunications,SA Telecommunications,76612,98.0,sba telecommunications,SA Telecommunications,76612,98.0,
"SBA Telecommunications, Inc.",22824,sba telecommunications,sba,SBA Communications,133084,98.0,sba telecommunications,SA Telecommunications,76612,98.0,sba telecommunications,SA Telecommunications,76612,98.0,
SCA HOLDINGS LLC,24480,sca holdings,sca,Scac Holdings,57346,99.2,sca holdings,Trust Holdings,114528,96.0,sca holdings,Trust Holdings,114528,96.0,
SCBT Financial Corporation,20505,scbt financial corporation,scbt,SCBT Financial (Berlin),289102,94.6,scbt financial,SCBT Financial (Berlin),289102,94.6,scbt financial corporation,Financial Corporation,109570,97.8,
SCENTRE MANAGEMENT LIMITED,3366,scentre management,scentre,Scentre Group Unit,80363,92.2,scentre management,Management Trust,19747,94.2,scentre management,Management Trust,19747,94.2,SCENTRE
SG Australia Limited,3303,sg australia,sg,OSG America,60878,92.2,sg australia,Austral,177447,94.8,sg australia,Austral,177447,94.8,
SMBC International Finance N.V.,2743,smbc international finance n.v.,smbc,SMBC Friend Securities,30342,88.6,smbc international,International,206505,91.8,smbc international finance,National Finance,43130,93.6,
SURA Asset Management S.A.,7342,sura asset management,sura,Insurance Management (Berlin),301530,92.8,sura asset,Asset Trust,45085,87.6,sura asset management,ARA Asset Management,24259,94.6,SURA
"Sabadell International Equity, Ltd",14738,sabadell international equity,sabadell,Banco de Sabadell (Vienna Stock Exchange),268227,89.8,sabadell international,International,206505,92.4,sabadell international equity,International,206505,92.4,Sabadell
Sable International Finance Ltd,14839,sable international finance,sable,Sableexploration and MI Ning,122231,92.4,sable international,International,206505,93.0,sable international finance,National Finance,112023,94.8,Sable
