Target Name,Target No.
B2W Digital Lux S.a r.l.,15409
BA Credit Card Trust,21846
BAA LYNTON LIMITED,9572
BA-CA FINANCE (CAYMAN) (2) LIMITED,14855
BA-CA Finance (Cayman) Limited,14759
Bacardi Martini BV,16281
Bacardi-Martini Finance B.V.,16136
BACS Banco de Credito y Securitizacion S.A.,2808
BAE SYSTEMS FINANCE INC.,21472
Baggot Securities Limited,11026
BAHIA LAS MINAS CORP,16754
BAHIA SUL Holdings GmbH,2912
"BAIC Finance Investment Co., Ltd.",7110
"BAIC Inalfa HK Investment Co., Limited",6929
"BAIC Investment Co., Ltd.",6534
BAJAJ FINANCIAL SECURITIES LIMITED,11987
BAKER STREET FINANCE LIMITED,12422
Balder Finland Oyj,8243
Balder Finska Otas AB,17684
"Baldwin & Lyons, Inc.",19755
Balfour Beatty Finance No.2 Limited,9608
Baloise Bank Soba,5585
BALTIC LEASING OOO,17278
BALTIYSKIY LEASING AO,17279
Bamnipal Steel Ltd,11832
Banca 121 PF S.p.A.,12157
BANCA ALETTI & C SPA,12220
BANCA APULIA S.P.A.,12181
BANCA CARIM - CASSA DI RISPARMIO DI RIMINI S.P,12191
Banca Caripe S.p.A.,12229
Banca Cesare Ponti S.p.A.,12278
Banca Comerciala Romana S.A.,17119
Banca del Mezzogiorno - Mediocredito Centrale,12145
Banca del Monte di Lucca SpA,12203
Banca della Campania S.p.A.,12225
BANCA DI CREDITO COOPERATIVO DI PONTASSIEVE -,12243
Banca di Credito Cooperativo Euganea di Ospeda,12249
Banca di Legnano SpA,12168
Banca di Sassari SpA,12252
Banca di Trento e Bolzano SpA,12169
Banca di Valle Camonica SpA,12219
BANCA ESPERIA SPA,12275
Banca IMI SpA,12176
Banca Italease Capital Trust (Delaware),22074
Banca Lombarda Preferred Securities Trust,21604
Banca Monte Parma SpA,12200
BANCA NUOVA S.P.A.,12196
Banca OPI SpA,12205
Banca Popolare Commercio e Industria SpA,12158
Banca Popolare del Mezzogiorno S.p.A.,12280
Banca Popolare FriulAdria SpA,12208
Banca Privata Leasing S.p.A.,12303
Banca Regionale Europea S.p.A.,12195
Banca Sai S.p.A.,12273
"BANCAJA EMISIONES, S.A.U.",8037
BANCASSURANCE POPOLARI S.P.A.,12327
BANCO ABN AMRO REAL S.A.,4093
BANCO ABN AMRO S.A.,4504
"BANCO BAC DE PANAMA, S.A.",16761
"Banco BAC San Jose, S.A.",7356
"Banco Banif, S.A.",8096
Banco Banorte S.A,4114
Banco Bilbao Vizcaya SA,21306
Banco BNP Paribas Brasil S.A.,4135
Banco Bocom BBM S.A.,4120
BANCO BONSUCESSO CONSIGNADO S/A,4375
"BANCO BPI CAYMAN, LTD.",14811
Banco BTG Pactual Chile,5786
BANCO CENTROAMERICANO DE INTEGRACION ECONOMICA,7355
Banco Centroamericano de Integracion Economica,10664
